timestamp,ECG_CH1
1763969121.9644322,-380751
1763969121.9699755,-380344
1763969121.9715555,-381400
1763969121.973569,-380631
1763969121.9744637,-381726
1763969121.9773486,-381521
1763969121.9780474,-380956
1763969121.9818707,-381831
1763969122.0015876,-380536
1763969122.008684,-381903
1763969122.00973,-381751
1763969122.0299585,-380946
1763969122.0299585,-381731
1763969122.034533,-381734
1763969122.035535,-381204
1763969122.0480857,-382106
1763969122.0615425,-381144
1763969122.0615425,-381996
1763969122.0781274,-382234
1763969122.0796993,-381194
1763969122.0975246,-382171
1763969122.0985048,-380726
1763969122.101723,-381402
1763969122.111191,-380741
1763969122.1164763,-379722
1763969122.1359198,-378467
1763969122.138426,-376114
1763969122.149835,-378392
1763969122.1514673,-379850
1763969122.16139,-380372
1763969122.16139,-381769
1763969122.1846607,-381862
1763969122.1846607,-382321
1763969122.1846607,-382789
1763969122.1998556,-381712
1763969122.201172,-382916
1763969122.2243705,-383004
1763969122.2262118,-382376
1763969122.2313704,-384349
1763969122.2339625,-382032
1763969122.2606156,-373697
1763969122.284476,-358273
1763969122.28706,-338581
1763969122.3216314,-335664
1763969122.3216314,-351229
1763969122.3498755,-383156
1763969122.3522713,-386044
1763969122.3522713,-382930
1763969122.3522713,-382189
1763969122.3588965,-379897
1763969122.3599045,-380791
1763969122.361576,-380864
1763969122.3627977,-379926
1763969122.364309,-380551
1763969122.366215,-379027
1763969122.3674574,-379430
1763969122.368458,-380134
1763969122.3778965,-378086
1763969122.382325,-378477
1763969122.3944652,-378279
1763969122.3944652,-377149
1763969122.410297,-377522
1763969122.4114506,-375804
1763969122.4253047,-376326
1763969122.4313128,-375787
1763969122.4514282,-373951
1763969122.4527674,-374457
1763969122.4537792,-372574
1763969122.4673984,-372671
1763969122.4689572,-372189
1763969122.481402,-370896
1763969122.482543,-371329
1763969122.4876964,-370407
1763969122.5014277,-371217
1763969122.507449,-372238
1763969122.5216498,-371627
1763969122.5231233,-373920
1763969122.5352309,-375531
1763969122.5352309,-375994
1763969122.5479133,-378197
1763969122.57175,-378157
1763969122.5749724,-379557
1763969122.5759969,-380031
1763969122.5780177,-379580
1763969122.593648,-380659
1763969122.5943444,-379678
1763969122.6176252,-380338
1763969122.6201515,-380292
1763969122.621614,-379290
1763969122.6443703,-379771
1763969122.646357,-378419
1763969122.6686413,-379420
1763969122.671423,-379167
1763969122.672433,-378353
1763969122.673436,-379147
1763969122.6848652,-378229
1763969122.6934521,-378549
1763969122.6942692,-379460
1763969122.6942692,-378345
1763969122.7016017,-379348
1763969122.715634,-379130
1763969122.716651,-378761
1763969122.7298102,-379675
1763969122.7313187,-378546
1763969122.7412467,-379906
1763969122.753721,-380209
1763969122.753721,-379433
1763969122.779371,-380031
1763969122.7813876,-379207
1763969122.78471,-380229
1763969122.7862506,-380094
1763969122.811291,-379543
1763969122.8130188,-380079
1763969122.815067,-378630
1763969122.8278842,-379483
1763969122.8304682,-379916
1763969122.8414645,-378967
1763969122.8440616,-379483
1763969122.8540614,-379891
1763969122.857243,-378512
1763969122.8645055,-379785
1763969122.8858142,-378744
1763969122.894235,-379792
1763969122.8965893,-379368
1763969122.8977299,-378722
1763969122.9099548,-379513
1763969122.9131536,-378404
1763969122.934495,-379163
1763969122.9399009,-379206
1763969122.9414413,-377567
1763969122.9614408,-378037
1763969122.9614408,-376269
1763969122.9614408,-374212
1763969122.9614408,-374826
1763969122.9914804,-375967
1763969122.994214,-378624
1763969122.994214,-377643
1763969123.0186203,-379127
1763969123.0203004,-379747
1763969123.0415413,-378599
1763969123.0437915,-380216
1763969123.0468128,-379637
1763969123.048609,-378896
1763969123.0615335,-380337
1763969123.0626338,-379759
1763969123.0646467,-382754
1763969123.0777967,-377156
1763969123.0793138,-365643
1763969123.0852542,-347521
1763969123.0924597,-330493
1763969123.1162226,-336880
1763969123.1175215,-366703
1763969123.1185539,-383236
1763969123.1304362,-382722
1763969123.131438,-379970
1763969123.1456943,-379531
1763969123.1474438,-379222
1763969123.1598408,-379124
1763969123.161648,-379033
1763969123.167636,-378674
1763969123.193808,-377989
1763969123.1954603,-378984
1763969123.2012541,-377356
1763969123.2037375,-378342
1763969123.2174418,-377834
1763969123.2223537,-376346
1763969123.230512,-377231
1763969123.2315245,-375619
1763969123.2351735,-375607
1763969123.2524664,-375546
1763969123.2579818,-374646
1763969123.2714515,-374858
1763969123.2724745,-372810
1763969123.2850368,-373106
1763969123.2859926,-372606
1763969123.2953272,-371457
1763969123.3132899,-372099
1763969123.3148181,-370519
1763969123.3516946,-371032
1763969123.3516946,-371332
1763969123.3516946,-370637
1763969123.3516946,-372462
1763969123.3790517,-373865
1763969123.3816175,-374520
1763969123.3816175,-377173
1763969123.4019485,-376853
1763969123.4060545,-379470
1763969123.412653,-379834
1763969123.413666,-379898
1763969123.4156828,-381143
1763969123.4166768,-379763
1763969123.4192715,-381349
1763969123.4343376,-381187
1763969123.439844,-380572
1763969123.4518776,-381291
1763969123.4518776,-379861
1763969123.5268393,-380836
1763969123.5344384,-380207
1763969123.536453,-379673
1763969123.5384727,-380540
1763969123.5414855,-379090
1763969123.543126,-379923
1763969123.544859,-380540
1763969123.544859,-379172
1763969123.5543385,-380459
1763969123.5631166,-380467
1763969123.5656714,-380159
1763969123.5676837,-381484
1763969123.5721037,-379963
1763969123.5731325,-380722
1763969123.5960197,-381203
1763969123.5965655,-380805
1763969123.6086676,-381526
1763969123.6086676,-380433
1763969123.611705,-381482
1763969123.612727,-381592
1763969123.6161594,-380886
1763969123.6329637,-381845
1763969123.638041,-380552
1763969123.6432157,-382109
1763969123.6432157,-381619
1763969123.6672976,-381129
1763969123.6694996,-382141
1763969123.670515,-381726
1763969123.6845868,-381132
1763969123.6860473,-382011
1763969123.7435434,-380785
1763969123.7435434,-381915
1763969123.766401,-381292
1763969123.7720869,-379432
1763969123.783654,-378991
1763969123.7850106,-376097
1763969123.7850106,-378041
1763969123.7850106,-379125
1763969123.789039,-380315
1763969123.791603,-381745
1763969123.7926176,-381216
1763969123.7954934,-382556
1763969123.7968798,-383021
1763969123.8174028,-382424
1763969123.8190546,-382798
1763969123.8200688,-382124
1763969123.824621,-382827
1763969123.8258178,-383637
1763969123.8485067,-384021
1763969123.8496418,-379044
1763969123.864169,-367588
1763969123.8658125,-348960
1763969123.8674119,-335003
1763969123.8815055,-339874
1763969123.8841724,-372531
1763969123.895874,-385901
1763969123.8974662,-384255
1763969123.9103272,-383986
1763969123.9117522,-380580
1763969123.9215143,-381192
1763969123.9347217,-381403
1763969123.9361205,-380333
1763969123.9604073,-380537
1763969123.963482,-379113
1763969123.9645097,-380548
1763969123.9663923,-380397
1763969123.9924834,-379151
1763969123.9955118,-379276
1763969123.9965155,-378279
1763969124.0104222,-377548
1763969124.0114465,-378038
1763969124.0254734,-376458
1763969124.026509,-376727
1763969124.0315468,-375906
1763969124.0374212,-374986
1763969124.044562,-375232
1763969124.071768,-372912
1763969124.0747576,-373586
1763969124.0767922,-373142
1763969124.077792,-372190
1763969124.094921,-372467
1763969124.1013887,-371298
1763969124.1216118,-372265
1763969124.1275902,-372857
1763969124.128356,-373412
1763969124.1490695,-376042
1763969124.150982,-376659
1763969124.1550214,-379324
1763969124.1575637,-380218
1763969124.1599443,-379242
1763969124.161474,-381441
